Address,Street,City,State,ZipCode,zpid,url,hasImage,status,soldPrice,beds,baths,area,latitude,longitude,isZillowOwned,soldDate,Type,lotArea,lotAreaUnits,taxAssessedValue,yearBuilt,livingArea,hoaFee,sunScore,buildFactor,climateFactor,electricityFactor,solarFactor,description,suburb,hasCooling,cooling,heating,parkingCapacity,parkingLocation,garageCapacity,basement,flooring,view,stories,porch,pricePerSquareFoot,roof,style,listDate,listPrice,walk_score,transit_score,bike_score
"4315 Tesla St, Pittsburgh, PA 15217",4315 Tesla St,Pittsburgh,PA,15217,11545320,https://www.zillow.com/homedetails/4315-Tesla-St-Pittsburgh-PA-15217/11545320_zpid/,TRUE,SOLD,115000,2,2,980,40.42077,-79.9362,FALSE,12/3/2021,TOWNHOUSE,1141.272,sqft,63400,1925,980,0,92.41,80,6.06,2.91,3.44,"Ready?? Two bedroom, one and a half bathroom, end unit townhome in desirable Greenfield neighborhood. Perfect for the first time home buyer looking for in Bigelow Heights, or for the savvy investor looking for a low maintenance investment property.   Walking distance to bus stops and shopping. View of the city. Minutes from major hospitals and universities. What more could you ask for?  Oh- there was a new roof installed in 2019.",Greenfield,NA,,Natural Gas,0,On Street,NA,FALSE,"Laminate,Wall to Wall",FALSE,2,,117,,Row,10/25/2021,130000,53,47,38
"6364 Alderson St, Pittsburgh, PA 15217",6364 Alderson St,Pittsburgh,PA,15217,11636053,https://www.zillow.com/homedetails/6364-Alderson-St-Pittsburgh-PA-15217/11636053_zpid/,TRUE,SOLD,408500,3,3,1684,40.42752,-79.91983,FALSE,12/1/2021,SINGLE_FAMILY,4748.04,sqft,193100,1950,1684,0,66.01,53.6,6.06,2.91,3.44,"Rare find - a Raised Ranch on a quiet street in Squirrel Hill.  Beautiful gleaming hardwood floors, pretty crown molding and plantation shutters.  Large Living Room opens to Dining Room.  Cozy den with a small gas fireplace.  Bright skylights in the eat-in kitchen.  3 nice sized bedrooms with lots of closet space.  Cool Retro bathrooms.  Basement has a finished game room with a half bath and a massive laundry room.  3 car garage!  Enjoy time out back in your private oasis.  New AC and new Furnace.",Squirrel Hill South,TRUE,Central Air,"Natural Gas,Forced Air",3,Garage,NA,FALSE,"Ceramic Tile,Hardwood",FALSE,NA,,243,Asphalt,Raised Ranch,8/25/2021,439000,84,51,64
"2654 Mount Royal Rd, Pittsburgh, PA 15217",2654 Mount Royal Rd,Pittsburgh,PA,15217,11289779,https://www.zillow.com/homedetails/2654-Mount-Royal-Rd-Pittsburgh-PA-15217/11289779_zpid/,TRUE,SOLD,170000,3,1,1380,40.426594,-79.91434,FALSE,11/30/2021,SINGLE_FAMILY,6242.148,sqft,178900,1933,1380,0,83.61,71.2,6.06,2.91,3.44,"This property is located on a prime Squirrel Hill street close to Downtown Pittsburgh, public transportation, universities, hospitals, dining, recreation, and shopping. With a little TLC this spacious three bedroom home offers charming features and an open floor plan.  In addition to the bedrooms, the second floor offers a walk-in closet.  The low maintenance back yard offers plenty of space for outdoor entertaining.  You will also appreciate the convenience of newer windows and a detached garage.",Squirrel Hill South,TRUE,Window A/C,"Natural Gas,Hot Water",1,Detached,NA,FALSE,"Hardwood,Other",FALSE,2,,123,Asphalt,Colonial,7/28/2021,215000,53,43,48
"4338 McCaslin St, Pittsburgh, PA 15217",4338 McCaslin St,Pittsburgh,PA,15217,11545124,https://www.zillow.com/homedetails/4338-McCaslin-St-Pittsburgh-PA-15217/11545124_zpid/,TRUE,SOLD,206000,2,2,NA,40.42019,-79.937874,FALSE,11/30/2021,SINGLE_FAMILY,NA,NA,111500,1948,NA,0,74.01,61.6,6.06,2.91,3.44,"This adorable ranch home boasts only 3 steps up to the front door PLUS a 16' x 16' 1st flr family room with cathedral ceiling! Ideal for those who want minimal stairs to climb. In excellent condition + hardwood floors, central air conditioning, integral garage. Just off the family room is an easy-care Trex deck perfect for grilling out or relaxing. The deck overlooks a grassy yard that's fenced in, perfect for kids and dog. The lower level has a finished room to suit your needs. Exercise room / playroom/ home office / guest room. There's a partial powder room and a laundry with washer and dryer included. Bigelow Heights is a delightful neighborhood with swimming pool, senior center, buses, Giant Eagle, and the Squirrel Hill business district. Less than 10 minutes to Oakland, Southside, Waterfront, and Downtown. 15 mins to Bakery Square.  You will love living here!",Greenfield,TRUE,Central Air,"Natural Gas,Forced Air",1,"Garage,Garage Door Opener",NA,FALSE,"Hardwood,Tile,Wall to Wall,Carpet",FALSE,1,,NA,Asphalt,Bungalow,9/20/2021,246000,63,44,41
"2326 Sherbrook St, Pittsburgh, PA 15217",2326 Sherbrook St,Pittsburgh,PA,15217,11635449,https://www.zillow.com/homedetails/2326-Sherbrook-St-Pittsburgh-PA-15217/11635449_zpid/,TRUE,SOLD,400000,NA,0,NA,40.43074,-79.921814,FALSE,11/30/2021,MULTI_FAMILY,NA,NA,195600,1922,NA,0,80.41,68,6.06,2.91,3.44,"Great investment opportunity in the heart of Squirrel Hill. Large duplex with detached 2 car garage. The first floor unit includes 1 bedroom, 2 full baths, spacious updated eat in kitchen, living room, office space and rear deck and patio. The second floor unit has 3 bedrooms, 1 full bath, large eat in kitchen, living area and occupies 2 floors. Radiant floor heat throughout the first floor and radiator heat on the second. large storage area in the basement with laundry.",Squirrel Hill South,NA,,,2,Detached,NA,FALSE,,FALSE,NA,,NA,Asphalt,,9/3/2021,419000,92,50,64
"5540 Fair Oaks St, Pittsburgh, PA 15217",5540 Fair Oaks St,Pittsburgh,PA,15217,11629751,https://www.zillow.com/homedetails/5540-Fair-Oaks-St-Pittsburgh-PA-15217/11629751_zpid/,TRUE,SOLD,514750,4,2,2244,40.445377,-79.92863,FALSE,11/30/2021,SINGLE_FAMILY,6973.7448,sqft,289700,1900,2244,0,70.81,58.4,6.06,2.91,3.44,"Located in the desirable North of Forbes section of Squirrel Hill, this 3 story home is steps away from Chatham and Carnegie Mellon, minutes from the University of Pittsburgh, and equidistant from both the shops and restaurants of Shadyside and Squirrel Hill.  This spacious home  features 4 bedrooms, 1 full and 1 half bath.  All the rooms are nicely sized with high ceilings and beautiful hardwood floors. The dining room is perfect for holiday gatherings.  A third floor room could be a home office. Other features include a large front porch, custom built-ins, a butler's pantry, and a good sized backyard. Don't miss this opportunity to live in one of Pittsburgh's favorite residential neighborhoods.",Squirrel Hill North,TRUE,Central Air,"Natural Gas,Forced Air",0,,NA,FALSE,Hardwood,FALSE,3,,229,,,44475,563000,64,58,64
"6552 Northumberland St, Pittsburgh, PA 15217",6552 Northumberland St,Pittsburgh,PA,15217,11289321,https://www.zillow.com/homedetails/6552-Northumberland-St-Pittsburgh-PA-15217/11289321_zpid/,TRUE,SOLD,545000,5,3,3331,40.442356,-79.9153,FALSE,11/29/2021,SINGLE_FAMILY,0,sqft,293900,1915,3331,0,72.41,60,6.06,2.91,3.44,"Wonderful Squirrel Hill home in a great location! Easy access to shops and restaurants in Sq. Hill, Shadyside, Point Breeze and Regent Square!  Amazing opportunity to own a large home in Squirrel Hill - over 3,000 sq. ft. The home has been in the family for 37 years. It has great bones and plenty of room.. Stunning front porch. Lots of original woodwork, hardwood floors, decorative fireplaces. Lovely fenced yard and two car detached garage.",Squirrel Hill North,TRUE,Window A/C,"Natural Gas,Hot Water",2,Detached,NA,FALSE,"Ceramic Tile,Hardwood,Other",FALSE,3,,164,Asphalt,Other,7/19/2021,649900,68,53,72
"749 McCaslin St, Pittsburgh, PA 15217",749 McCaslin St,Pittsburgh,PA,15217,11540392,https://www.zillow.com/homedetails/749-McCaslin-St-Pittsburgh-PA-15217/11540392_zpid/,TRUE,SOLD,250000,3,1,1260,40.424744,-79.9362,FALSE,11/29/2021,SINGLE_FAMILY,2500.344,sqft,109300,1925,1260,0,81.21,68.8,6.06,2.91,3.44,"Enjoy the convenience of being close to EVERYTHING in this ADORABLE, three-bed, one-bath, charmer nestled in the heart of Greenfield! Gorgeous hardwood floors and exquisite, original woodwork throughout the entire home. Loads of cascading natural light accent the spacious living room and dining room, leading into the efficient, galley kitchen complete with gleaming white cabinets and stainless steel appliances. Make your way to the upper level where you will discover your beautifully remodeled bathroom with custom subway tiled shower/tub combo, stunning beadboard detailing and heated floors. Covered front porch and back deck give you plenty of options for the enjoying the outdoors where you can entertain guests or simply savor for yourself! The fenced-in, tabletop backyard leading to your private, off-street parking pad offers convenience that is hard to come by with city-living. Easy access to I-376, hospitals, universities, downtown and so much more!",Greenfield,TRUE,Central Air,"Natural Gas,Hot Water",1,Off Street,NA,FALSE,Hardwood,FALSE,2,,198,Asphalt,Victorian,10/20/2021,225000,61,45,43
"970 Greenfield Ave, Pittsburgh, PA 15217",970 Greenfield Ave,Pittsburgh,PA,15217,11639301,https://www.zillow.com/homedetails/970-Greenfield-Ave-Pittsburgh-PA-15217/11639301_zpid/,TRUE,SOLD,289000,3,2,1218,40.422974,-79.93098,FALSE,11/29/2021,SINGLE_FAMILY,2500.344,sqft,58000,1920,1218,0,67.61,55.2,6.06,2.91,3.44,"Turn the key to your new home! Absolute move in condition from the bottom up! Open the front door and the very first thing you'll notice is the gorgeous, professionally refinished hardwood flooring that flows through the living room, dining area & up the steps into the hall and all 3 bedrooms. Original decorative fireplace has received a complete facelift and gas logs were installed. Step into the gorgeous, new kitchen and you'll fall in love with its shaker style white cabinetry, sparkling quartz counter top, brand new appliances and flooring plus walk out access to back yard. Two brand new bathrooms feature custom tile work and lovely fixtures. The lower level is partially finished with fresh paint and plenty of additional storage space was added. New HVAC system too! Covered front porch offers pleasant space to sit and relax. The back yard features small patio area that is ideal for grilling and outdoor dining. Detached garage with new roof and door is accessed from the alley!",Greenfield,TRUE,Central Air,"Natural Gas,Forced Air",1,Detached,NA,FALSE,"Ceramic Tile,Hardwood",FALSE,2,,237,Composition,Colonial,9/18/2021,289900,81,49,62
"5256 Forbes Ave, Pittsburgh, PA 15217",5256 Forbes Ave,Pittsburgh,PA,15217,11533963,https://www.zillow.com/homedetails/5256-Forbes-Ave-Pittsburgh-PA-15217/11533963_zpid/,TRUE,SOLD,493000,4,2,2375,40.44129,-79.93669,FALSE,11/24/2021,SINGLE_FAMILY,8023.752,sqft,254100,1925,2375,0,20.41,8,6.06,2.91,3.44,,Squirrel Hill North,TRUE,Window A/C,"Natural Gas,Hot Water",1,Attached,NA,FALSE,,FALSE,2,,208,Asphalt,Colonial,10/14/2021,509000,52,62,56
"6316 Forward Ave, Pittsburgh, PA 15217",6316 Forward Ave,Pittsburgh,PA,15217,11635410,https://www.zillow.com/homedetails/6316-Forward-Ave-Pittsburgh-PA-15217/11635410_zpid/,TRUE,SOLD,305000,3,2,NA,40.428757,-79.92073,FALSE,11/23/2021,SINGLE_FAMILY,NA,NA,148900,1930,NA,0,92.41,80,6.06,2.91,3.44,"Welcome to this Squirrel Hill home that offers many modern features with an open, spacious floor plan.  And it's in a great location - close to everything Squirrel Hill has to offer. You will love preparing meals in the amazing kitchen complete with SubZero refrigerator, commercial-style gas cooktop with built in charcoal grill, hood with heat lamps, wine cooler and bamboo flooring with radiant heat! Then enjoy those meals at the breakfast bar or in the huge open living room/dining room combo. The bright sunroom up front is a great place for an office, playroom, music room or study. The basement has a ton of storage space (including huge cedar closets!), as well as a finished space with bamboo floors to use as a bonus game room. Upstairs enjoy quiet respite in the 3 large bedrooms. Outside the front yard is low maintenance and the back is just big enough for a garden. Cook out on your hard piped gas grill.  Plus you have a one car detached garage!",Squirrel Hill South,TRUE,Window A/C,"Natural Gas,Hot Water",1,"Detached,Garage Door Opener",NA,FALSE,"Hardwood,Other,Tile,Carpet",FALSE,NA,,NA,Other,"Raised Ranch,Row",10/7/2021,299900,86,49,65
"5441 Aylesboro Ave, Pittsburgh, PA 15217",5441 Aylesboro Ave,Pittsburgh,PA,15217,11630944,https://www.zillow.com/homedetails/5441-Aylesboro-Ave-Pittsburgh-PA-15217/11630944_zpid/,TRUE,SOLD,922500,6,5,3180,40.43897,-79.931755,FALSE,11/22/2021,SINGLE_FAMILY,8145.72,sqft,454800,1885,3180,0,50.81,38.4,6.06,2.91,3.44,"Stately Victorian situated in Squirrel Hill's prestigious Murdoch Farms neighborhood. This historic home features defining details including inlayed hardwood floors, pocket doors, turrets and dormers, 9 foot ceilings, and shapely windows. Upon entry you are greeted with a lovely curved staircase and decorative fireplace. For the home chef, enjoy the spacious kitchen with the option to make eat-in or add an oversized island. The second floor includes 3 bedrooms and the owner's suite. The third floor holds an additional 3 rooms and full bathroom, featuring dormers and cozy nooks. The finished lower level does not disappoint with a family room including built in entertainment area and seating, and home gym! Outdoor entertaining is a breeze with the Trex deck overlooking the fully fenced green yard complete with play area and fire pit. Located in the heart of Squirrel Hill. A stones throw to Schenley Park and golf course! Minutes to Pittsburgh's hospitals and universities.",Squirrel Hill North,TRUE,Window A/C,"Natural Gas,Hot Water",2,Off Street,NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall",FALSE,3,,290,Slate,Victorian,44456,975000,61,56,67
"2578 Beechwood Blvd, Pittsburgh, PA 15217",2578 Beechwood Blvd,Pittsburgh,PA,15217,2071117678,https://www.zillow.com/homedetails/2578-Beechwood-Blvd-Pittsburgh-PA-15217/2071117678_zpid/,TRUE,SOLD,540000,NA,0,NA,40.428146,-79.91643,FALSE,11/19/2021,MULTI_FAMILY,NA,NA,NA,1930,NA,0,92.41,80,6.06,2.91,3.44,"This unique and large duplex is perfectly located by some of the city’s best amenities! The property is less than a block from Frick Park and Pittsburgh’s iconic Blue Slide Park, and less than a mile from Taylor Alderdice, Colfax Elementary, Community Day, and the sprawling business district at Forbes and Murray. The property itself is exceptional with over 3,000 Sq Ft and 2 large yards! The first floor unit has a large living room, an open concept kitchen/dinning room, and plenty of closet space in the bedrooms. The second floor unit is similar to the first floor with some fantastic difference! The first thing you will notice when entering this unit is the 14 foot high cathedral ceilings! The second feature you’ll see is how bright the space is; a classic feature for any corner lot. The master bedroom has large built out closets and a private en suite. This is the first time in over 20 years this property has been available for sale- don’t miss your chance!!!",Squirrel Hill South,NA,,,2,Garage,NA,FALSE,,FALSE,NA,,NA,Tile,,44461,625000,77,49,67
"958 Greenfield Ave, Pittsburgh, PA 15217",958 Greenfield Ave,Pittsburgh,PA,15217,11639307,https://www.zillow.com/homedetails/958-Greenfield-Ave-Pittsburgh-PA-15217/11639307_zpid/,TRUE,SOLD,225000,3,2,1159,40.423138,-79.931366,FALSE,11/19/2021,SINGLE_FAMILY,2500.344,sqft,116000,1965,1159,0,70.81,58.4,6.06,2.91,3.44,"Move right into this meticulously maintained Greenfield charmer!  With an integral garage and driveway in a location that is convenient to shopping, universities and downtown-- this house can't be beat! You will love the gorgeous front landscaping, oversized front porch and the terraced garden in the backyard.   Step inside to find light and bright living areas and an eat in kitchen.  There is more natural light in the upstairs bedrooms, each with a generous closet, plus two additional closets in the hallway.  This house has so much storage space.    The basement is partially finished for additional living space, with more storage, newer washer/dryer and access to the integral garage!",Greenfield,TRUE,Central Air,"Natural Gas,Forced Air",2,"Garage,Off Street,Garage Door Opener",NA,FALSE,"Hardwood,Tile",FALSE,2,,194,Asphalt,,6/25/2021,249900,80,49,49
"6354 Alderson St, Pittsburgh, PA 15217",6354 Alderson St,Pittsburgh,PA,15217,11636050,https://www.zillow.com/homedetails/6354-Alderson-St-Pittsburgh-PA-15217/11636050_zpid/,TRUE,SOLD,282888,3,2,1394,40.427624,-79.92019,FALSE,11/18/2021,SINGLE_FAMILY,0,sqft,140300,1920,1394,0,89.21,76.8,6.06,2.91,3.44,"In heart of Squirrel Hill on a highly desirable low traffic street, this charming home has lots of updates. Refinished hardwood floors bring warmth to the bright open plan. The kitchen, bath, most windows, central air, furnace and roof have all been replaced within the last few years. Concrete sidewalk was replaced in 2019 by city after new water lines were installed from the street to inside the house. Large clean basement with outside entrance, Pittsburgh potty, workbench, nearly new dryer and top-loading no-agitator washer. Never run out of gas for your grill with connection at rear covered porch next to kitchen. Enjoy view of neighborhood from your porch swing. Close to Frick Park, Blue Slide Playground, Community Day School, Colfax Elementary, Taylor Allderdice High School and Murray and Forbes Avenue shops and restaurants. Easy access by car to shopping and entertainment at The Waterfront or I-376 to Downtown and South Side. Convenient on-street parking with no permit required.",Squirrel Hill South,TRUE,"Central Air,Electric","Natural Gas,Forced Air",1,On Street,NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall,Carpet",FALSE,2,,203,Asphalt,,7/8/2021,315000,83,48,65
"24 Timberline Ct, Pittsburgh, PA 15217",24 Timberline Ct,Pittsburgh,PA,15217,11639484,https://www.zillow.com/homedetails/24-Timberline-Ct-Pittsburgh-PA-15217/11639484_zpid/,TRUE,SOLD,289900,3,2,1296,40.422905,-79.92569,FALSE,11/15/2021,TOWNHOUSE,1794.672,sqft,180900,1975,1296,0,91.61,79.2,6.06,2.91,3.44,"This well maintained townhouse offers a contemporary design inside a delightful little development.   This 3 bedroom and 1.5 bath home has a bright living room open to the dining room leading into the  kitchen with stainless appliances, white cabinets and a new backsplash. The 1st floor also has a 1/2 bath & laundry area.  The master bedroom and 2nd bedroom are near the master bath on the top level with the 3rd bedroom or guest bedroom  in its own wing of the upper level.  The lower level has the garage, storage room and a mud room area as you enter the home.  There's also a new deck right off the main level into the backyard.  Perfect for relaxing outside under the tress or for cookouts.",Squirrel Hill South,TRUE,Central Air,"Natural Gas,Forced Air",1,"Garage,Garage Door Opener",NA,FALSE,"Hardwood,Wall to Wall,Carpet",FALSE,2,,224,Asphalt,Contemporary,44458,289900,80,50,57
"3412 Beechwood Blvd, Pittsburgh, PA 15217",3412 Beechwood Blvd,Pittsburgh,PA,15217,11639969,https://www.zillow.com/homedetails/3412-Beechwood-Blvd-Pittsburgh-PA-15217/11639969_zpid/,TRUE,SOLD,345000,5,2,2600,40.419907,-79.926895,FALSE,11/15/2021,SINGLE_FAMILY,4521.528,sqft,155300,1916,2600,0,86.81,74.4,6.06,2.91,3.44,"Stately 5 bedroom brick craftsman classic in Squirrel Hill.  Large covered front porch, high ceilings, hardwood floors, original fireplace inserts, and built-in shelves, are just a few features of this beautiful home.  Up the curved stairs and past the stained glass window you will find 3 bedrooms, and a full bathroom with tasteful black and white subway tile.  Up on the third level there are two additional bedrooms, a large storage closet, and a full bath.  Full basement is huge with room for storage and recreation.  Out back is a large deck, a grass yard, and off street covered parking.  Well maintained by the current owner who has lived in the home for 39 years.  2 miles from the Waterfront!  Costco, Bath & Body works, Starbucks, Lowes, AMC, Barnes and Nobles, PF Changs and more!",Greenfield,TRUE,Window A/C,"Natural Gas,Hot Water",3,"Covered,Off Street",NA,FALSE,Hardwood,FALSE,3,,133,Asphalt,Provincial,44411,369900,70,47,47
"1061 Parkview Blvd, Pittsburgh, PA 15217",1061 Parkview Blvd,Pittsburgh,PA,15217,67344763,https://www.zillow.com/homedetails/1061-Parkview-Blvd-Pittsburgh-PA-15217/67344763_zpid/,TRUE,SOLD,810000,4,4,3380,40.42253,-79.912476,FALSE,11/12/2021,TOWNHOUSE,3402.036,sqft,545000,2004,3380,0,92.41,80,6.06,2.91,3.44,"Welcome to this inviting, well-maintained home in Summerset at Frick Park. Greet guests under sprawling covered front porch & immediately appreciate soaring ceilings, 10-ft doors, hardwds, & big windows. Butler’s pantry connects family rm & kitchn for easy entertaining. Beautifully updated kitchn w/ massive 2-tier island & 6 burner gas stove. Entertain & BBQ in grassy backyard & covered patio. Retreat to owner’s suite & soak in sunrise & beautiful views of Frick Park from private balcony. Beautiful en-suite w/ jacuzzi tub & WI closet. Huge finishd loft/4th BR, full bathrm & 2 large closets. Attchd garage w/ epoxy flrs. Home audio & central vac. Premier amenities: community cntr w/ catering kitchen, fitness cntr, swimming pool, playground, basketball court. Enjoy green space & pavilion across street & walking trials thru Frick Park. Ideal location near I-376, hospitals, universities, restaurants, & Waterfront in desirable Squirrel Hill. Explore many more pics & 3D Virtual Tour in link.",Squirrel Hill South,TRUE,"Central Air,Electric","Natural Gas,Forced Air",2,"Attached,Garage Door Opener",NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall,Carpet",FALSE,3,,240,Asphalt,Provincial,7/15/2021,889000,68,68,53
"634 Montclair St, Pittsburgh, PA 15217",634 Montclair St,Pittsburgh,PA,15217,11545249,https://www.zillow.com/homedetails/634-Montclair-St-Pittsburgh-PA-15217/11545249_zpid/,TRUE,SOLD,162000,2,1,1020,40.420135,-79.934814,FALSE,11/12/2021,SINGLE_FAMILY,2252.052,sqft,94700,1950,1020,0,79.61,67.2,6.06,2.91,3.44,"BRIGHT & SUNNY! 1950's brick colonial ""Worker's Cottage"" situated on the quiet, cheerful street of Montclair Greenfield. Conveniently located to shoppes, the waterfront and green spaces, it is a perfect location/size for a work from Home individual, professional couple or starter family.  The above street level, covered front porch makes for great outdoor living space. Inside there is ample natural light and an open feeling to this otherwise traditional home. Vintage tiled bath floor to ceiling and surround! Walk out basement allows for convenient access and offers added storage, partially finished w/ divider wall for work/laundry area. Two car garage, accessible by paved walkway from the kitchen makes for a three access entry, stairs minimised.  Needs some TLC, upgrades but is move in ready w/ A/C!!",Greenfield,TRUE,"Other,Wall Unit(s)",Natural Gas,2,"Detached,On Street",NA,FALSE,"Area Rug,Hardwood,Tile",FALSE,2,,159,Composition,Colonial,8/24/2021,189900,61,48,37
"5841 Ferree St, Pittsburgh, PA 15217",5841 Ferree St,Pittsburgh,PA,15217,11630750,https://www.zillow.com/homedetails/5841-Ferree-St-Pittsburgh-PA-15217/11630750_zpid/,TRUE,SOLD,642000,4,4,NA,40.441067,-79.921745,FALSE,11/12/2021,SINGLE_FAMILY,NA,NA,373300,1920,NA,0,92.41,80,6.06,2.91,3.44,"Lovingly cared for the last 21 years Perfect location! Large home with large rooms, North of Forbes with plenty of space for family & home office space. Easy access to Squirrel Hill shops & cultural activities. Many updates including newer Roof, Furnace, H2O tank, gas line, Real gas burning Living room fireplace. Kitchen has been updated. Generously sized bedrooms, the Huge Master bedroom has an in suite bath. There are 2 additional baths one on the second and the third floor and a powder room on the main floor. Like new deck looking over private back yard. The property has a high degree of walkability. Easy access to Bakery Square, Shadyside, Universities and Hospitals. Several public transportation options available. Frick Park is just a short walk away. Everything you need is here waiting for you. All you need to do is Move Right In!.",Squirrel Hill North,TRUE,"Electric,Wall Unit(s)","Natural Gas,Hot Water",1,Detached,NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall,Carpet",FALSE,3,,NA,Asphalt,Colonial,9/28/2021,649900,85,54,75
"3745 Beechwood Blvd, Pittsburgh, PA 15217",3745 Beechwood Blvd,Pittsburgh,PA,15217,11635692,https://www.zillow.com/homedetails/3745-Beechwood-Blvd-Pittsburgh-PA-15217/11635692_zpid/,TRUE,SOLD,156000,3,1,1419,40.427364,-79.92869,FALSE,11/12/2021,SINGLE_FAMILY,4647.852,sqft,84000,1920,1419,0,81.21,68.8,6.06,2.91,3.44,"Well maintained home. Property is in good condition and a great location. Hardwoods throughout, updated kitchen and bathroom. Great outdoor space.",Greenfield,NA,,Natural Gas,1,Detached,NA,FALSE,Hardwood,FALSE,2,,110,,,5/22/2021,199999,75,49,49
"4128 Beehner Rd, Pittsburgh, PA 15217",4128 Beehner Rd,Pittsburgh,PA,15217,11544866,https://www.zillow.com/homedetails/4128-Beehner-Rd-Pittsburgh-PA-15217/11544866_zpid/,TRUE,SOLD,485000,4,4,2968,40.423096,-79.93522,FALSE,11/12/2021,SINGLE_FAMILY,6800,sqft,127700,NA,2968,0,89.21,76.8,6.06,2.91,3.44,"WELCOME HOME... ENTRY LEVEL ACCESS, 100% REMODEL IN 2000.THE EXPANSIVE KITCHEN BOAST AMPLE DETAILED CABINETRY W/ SOME LOWER CABINETS OFFERING PULL-OUT DRAWERS FOR EASY ACCESS TO YOUR LARGER ITEMS.THE CABINETS ARE COMPLIMENTED BY EXCEPTIONAL GRAINED GRANITE COUNTERTOPS,GLASS AND CERAMIC BACK SPLASH,UPPER AND LOWER ACCENT LIGHTING ALONG W/ A CENTER ISLAND,NEW WHIRLPOOL SS FINGERPRINT RESISTENT APPLIANCES COMPLETE THE LOOK.AN EXTENDED HEIGHT COUNTERTOP AND A BREAKFAST AREA W/ WINDOWS OVERLOOKING THE BACK YARD GIVE YOU OPTIONS FOR ENJOYING YOUR MORNING BEVERAGE.THE 1ST FLOOR FAMILY ROOM IS HIGHLIGHTED BY A BEAUTIFUL FIREPLACE.THE UPPER LEVEL HAS 3 BR'S,MAIN BATH AND LAUNDRY ROOM.THE PRIMARY BR BOAST A WALK-IN CLOSET,ADDITIONAL 9' CLOSET AND A CUSTOM SHOE CLOSET ALONG W/ JETTED TUB,STAND ALONE SHOWER AND DOUBLE BOWL VANITY. LOWER LEVEL GR W/FIREPLACE,FULL BATH AND BR. 1 CAR INTEGRAL GARAGE, 2 FURNACES AND 2AC, SOAKER SYSTEM IN MULCHED AREA OF FRONT YARD, 8 OFF STREET PARKING",Greenfield,TRUE,"Central Air,Electric","Natural Gas,Forced Air",2,"Attached,Garage Door Opener",NA,FALSE,"Ceramic Tile,Other,Wall to Wall,Carpet",FALSE,2,,163,Asphalt,,6/26/2021,529000,74,48,46
"967 Deely St, Pittsburgh, PA 15217",967 Deely St,Pittsburgh,PA,15217,11639278,https://www.zillow.com/homedetails/967-Deely-St-Pittsburgh-PA-15217/11639278_zpid/,TRUE,SOLD,297000,4,2,2100,40.42268,-79.93129,FALSE,11/12/2021,SINGLE_FAMILY,2252.052,sqft,140700,1910,2100,0,66.01,53.6,6.06,2.91,3.44,"Darling Victorian blocks from the grocery, restaurants, and shops of Greenfield*Three 725 sq. ft. levels total A LOT of space & storage*Previous renovations include adding hardwood to main level & expanding 1st floor doorways...the result is a bright & airy space w/ high ceilings, wonderful light & perfect flow for entertainment*Take your gatherings outside to the charming front porch, expansive rear deck, or rear yard perfect for cornhole*2nd level layout includes 2 huge bedrooms, a full bath w/ separate tub & shower, and an office (counted as bedroom #4) which is a pass through to upper level MASTER SUITE*Master suite includes full bath, sleeping area & flexible den/office space*Basement has high ceilings & is partially above grade w/ an entrance/exit leading to rear yard*1st & 2nd floors have central AC*Price includes pre-payment to add 2 car parking (not currently in place...buyer can pick layout)*No show until Tuesday 9/28.",Greenfield,TRUE,Central Air,"Natural Gas,Forced Air",2,Off Street,NA,FALSE,"Laminate,Tile,Wall to Wall,Carpet",FALSE,3,,141,Slate,,44462,297000,73,47,54
"1154 Wightman St, Pittsburgh, PA 15217",1154 Wightman St,Pittsburgh,PA,15217,11629412,https://www.zillow.com/homedetails/1154-Wightman-St-Pittsburgh-PA-15217/11629412_zpid/,TRUE,SOLD,635000,5,4,2778,40.44601,-79.92893,FALSE,11/12/2021,SINGLE_FAMILY,3118.896,sqft,308000,1907,2778,0,91.61,79.2,6.06,2.91,3.44,"Golden opportunity to own a 20th-century Queen Anne style residence on a tree lined street in coveted Squirrel Hill North. This 5 bed, 4 bath grande dame abounds with old world features: gleaming wood floors, high ceilings, spacious rooms, fireplaces, pocket doors, and handsome woodwork. Standouts include eat-in solarium overlooking backyard deck and garden, flowing main floor layout, and generous sized primary bedroom/en-suite/walk-in closet basking in southwestern light. Attention to detail and craftsmanship unmatched by today's standards. This 3-level beauty should not be missed.",Squirrel Hill North,TRUE,Central Air,"Natural Gas,Forced Air",1,Off Street,NA,FALSE,"Hardwood,Tile,Wall to Wall,Carpet",FALSE,3,,229,Asphalt,Victorian,8/13/2021,650000,65,58,64
